judul,rating,genre,poster_url,musim_tayang,jenis_tayangan,sinopsis,studio,sinopsis_final
Noramimi,6.15,Comedy,https://cdn.myanimelist.net/images/anime/1532/133818.jpg,Winter 2008,TV,"The anime is based on Kazuo Hara's comedy manga in which mascot characters live and work among humans. Agencies have been set up to train mascots to babysit children and then to place the mascots within families. Noramimi is one such mascot at the Hello Kids branch office #59. Unfortunately, no family wants to adopt a mascot born from a demon (oni) family, so he is stuck living at the agency.

Source: ANN, Moon Phase",TMS Entertainment,the anime is based on kazuo haras comedy manga in which mascot characters live and work among humans agencies have been set up to train mascots to babysit children and then to place the mascots within families noramimi is one such mascot at the hello kids branch office unfortunately no family wants to adopt a mascot born from a demon oni family so he is stuck living at the agency source ann moon phase
Zenryoku Usagi,6.01,Comedy,https://cdn.myanimelist.net/images/anime/12/51631.jpg,Winter 2008,TV,"Zenryoku Usagi are hardworking construction builders — who happen to be rabbits — with a simple motto: ""Zenryoku+Dai-ichi"" (""Give everything you've got and be #1."") The animated shorts were aired in Japan within the Chibi Ani Gekijō (Tiny Anime Theater) program on Friday or Saturday mornings, depending on the station. Ikeda and Media Factory have created two books and numerous spinoff goods featuring the characters. 

(Source: Saikin Anime Jōhō)",add some,zenryoku usagi are hardworking construction builders  who happen to be rabbits  with a simple motto zenryokudaiichi give everything youve got and be the animated shorts were aired in japan within the chibi ani gekij tiny anime theater program on friday or saturday mornings depending on the station ikeda and media factory have created two books and numerous spinoff goods featuring the characters source saikin anime j h
Kara no Kyoukai Movie 3: Tsuukaku Zanryuu,8.01,"Action, Drama, Fantasy, Mystery, Suspense",https://cdn.myanimelist.net/images/anime/4/21735.jpg,Winter 2008,Movie,"On a solemn night in July 1998, teenager Fujino Asagami is mercilessly raped by a street gang in a dilapidated bar. No matter what physical or sexual abuse they deal, however, the girl regards her captors with the same apathetic expression. The next day, mangled bodies are discovered in that same building, so torn apart that investigators find it infeasible to even consider the culprit human.

Elsewhere, a client request reaches Touko Aozaki's detective agency, tasking Shiki Ryougi with either capturing or killing the perpetrator of last night's incident. But soon, word spreads that a single survivor escaped the slaughter, and now the murderer is plowing down everything in their path to locate and exterminate him. A brutal race against time begins, pitting Shiki against a dangerous foe imperceptible even to her legendary eyes. 

[Written by MAL Rewrite]",ufotable,on a solemn night in july teenager fujino asagami is mercilessly raped by a street gang in a dilapidated bar no matter what physical or sexual abuse they deal however the girl regards her captors with the same apathetic expression the next day mangled bodies are discovered in that same building so torn apart that investigators find it infeasible to even consider the culprit human elsewhere a client request reaches touko aozakis detective agency tasking shiki ryougi with either capturing or killing the perpetrator of last nights incident but soon word spreads that a single survivor escaped the slaughter and now the murderer is plowing down everything in their path to locate and exterminate him a brutal race against time begins pitting shiki against a dangerous foe imperceptible even to her legendary eyes written by mal rewrite
"One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",7.43,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/1709/135258.jpg,Winter 2008,Movie,"As Nami has fallen seriously ill, the Straw Hats head to Drum Island in search of a doctor. However, they learn that there is only one doctor left on the island, the reclusive Dr. Kureha who currently resides at the top of a mountain. With a sick Nami in tow, Monkey D. Luffy and Sanji set out on an arduous journey to seek her help. 

Meanwhile, the return of Wapol—Drum Island's former king—and his brother spells trouble for the island's inhabitants. As the one responsible for the current lack of doctors, Wapol has finally returned to take back his position as the people's despot and absolute ruler.

With the help of new allies like the half-human reindeer Chopper Tony Tony, the Straw Hat Crew must overcome all the obstacles in its way to save Nami's life and stop Wapol from plunging Drum Island back into tyranny. 

[Written by MAL Rewrite]",Toei Animation,as nami has fallen seriously ill the straw hats head to drum island in search of a doctor however they learn that there is only one doctor left on the island the reclusive dr kureha who currently resides at the top of a mountain with a sick nami in tow monkey d luffy and sanji set out on an arduous journey to seek her help meanwhile the return of wapol drum islands former king and his brother spells trouble for the islands inhabitants as the one responsible for the current lack of doctors wapol has finally returned to take back his position as the peoples despot and absolute ruler with the help of new allies like the halfhuman reindeer chopper tony tony the straw hat crew must overcome all the obstacles in its way to save namis life and stop wapol from plunging drum island back into tyranny written by mal rewrite
Doraemon Movie 28: Nobita to Midori no Kyojin Den,7.55,"Adventure, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/8/72433.jpg,Winter 2008,Movie,"One day Nobita found a small sapling behind the hill but his mom won't allow him to plant it in the backyard. Using Doraemon's special tool, they made the tree alive so it could move around freely. Nobita name it Ki-bō and the two became like brothers. From there, a new adventure awaits...",Shin-Ei Animation,one day nobita found a small sapling behind the hill but his mom wont allow him to plant it in the backyard using doraemons special tool they made the tree alive so it could move around freely nobita name it kib and the two became like brothers from there a new adventure awaits
Keroro Gunsou Movie 3: Tenkuu Daikessen de Arimasu!,7.4,"Comedy, Sci-Fi",https://cdn.myanimelist.net/images/anime/1558/98560.jpg,Winter 2008,Movie,"The movie begins with Fuyuki Hinata and the Keroro Platoon exploring an abandoned temple in the mountaintop city of Machu Picchu in Peru. While on the exploration, Keroro accidentally sets off a trap, and by chance they find a hidden chamber with a large blue crystal in the center, on a stand that has a key in it. Keroro leans on the key, causing the room to activate a mysterious machine, this caused the entire temple to shake. As soon as the group realized what was happening, they run out of the room. While running, Keroro accidentally loses his Kero Ball while Fuyuki catches a fleeting glimpse of a glowing young woman as he is running out, and tells Keroro that there was a girl in the room, but he is forced to leave the room before he can say anything else. The group successfully escapes, while the girl (now sprouting a pair of glowing wings) watches them leave - while back in the chamber, something is growing within the crystal... 

(Source: AniDB)",Sunrise,the movie begins with fuyuki hinata and the keroro platoon exploring an abandoned temple in the mountaintop city of machu picchu in peru while on the exploration keroro accidentally sets off a trap and by chance they find a hidden chamber with a large blue crystal in the center on a stand that has a key in it keroro leans on the key causing the room to activate a mysterious machine this caused the entire temple to shake as soon as the group realized what was happening they run out of the room while running keroro accidentally loses his kero ball while fuyuki catches a fleeting glimpse of a glowing young woman as he is running out and tells keroro that there was a girl in the room but he is forced to leave the room before he can say anything else the group successfully escapes while the girl now sprouting a pair of glowing wings watches them leave while back in the chamber something is growing within the crystal source anidb
Futari wa Precure: Splash☆Star Maji★Doki♥ Theater,6.24,"Action, Comedy",https://cdn.myanimelist.net/images/anime/4/67529.jpg,Winter 2008,Movie,"A seed of hope descends from the sky, landing atop Flappy's head and sprouting between his ears. Goyaan is sent after the seed of hope and uses a seed of despair to transform an Uzaina, causing big trouble for the Precure!",add some,a seed of hope descends from the sky landing atop flappys head and sprouting between his ears goyaan is sent after the seed of hope and uses a seed of despair to transform an uzaina causing big trouble for the precure
Around the World!,5.79,Avant Garde,https://cdn.myanimelist.net/images/anime/1188/118168.jpg,Winter 2008,Movie,Naoki Yoshibe's graduation work.,add some,naoki yoshibes graduation work
Code Geass: Hangyaku no Lelouch R2,8.91,"Award Winning, Drama, Sci-Fi, Mecha, Military, Super Power",https://cdn.myanimelist.net/images/anime/1088/135089.jpg,Spring 2008,TV,"One year has passed since the Black Rebellion, a failed uprising against the Holy Britannian Empire led by the masked vigilante Zero, who is now missing. At a loss without their revolutionary leader, Area 11's resistance group—the Black Knights—find themselves too powerless to combat the brutality inflicted upon the Elevens by Britannia, which has increased significantly in order to crush any hope of a future revolt. 

Lelouch Lamperouge, having lost all memory of his double life, is living peacefully alongside his friends as a high school student at Ashford Academy. His former partner C.C., unable to accept this turn of events, takes it upon herself to remind him of his past purpose, hoping that the mastermind Zero will rise once again to finish what he started.

[Written by MAL Rewrite]",Sunrise,one year has passed since the black rebellion a failed uprising against the holy britannian empire led by the masked vigilante zero who is now missing at a loss without their revolutionary leader area s resistance group the black knights find themselves too powerless to combat the brutality inflicted upon the elevens by britannia which has increased significantly in order to crush any hope of a future revolt lelouch lamperouge having lost all memory of his double life is living peacefully alongside his friends as a high school student at ashford academy his former partner cc unable to accept this turn of events takes it upon herself to remind him of his past purpose hoping that the mastermind zero will rise once again to finish what he started written by mal rewrite
Soul Eater,7.85,"Action, Comedy, Fantasy",https://cdn.myanimelist.net/images/anime/1071/149486.jpg,Spring 2008,TV,"Death City is home to the famous Death Weapon Meister Academy (Shibusen), a technical academy headed by the Shinigami—Lord Death himself. Its mission: to raise Death Scythes for the Shinigami to wield against the many evils of their fantastical world. These Death Scythes, however, are not made from physical weapons; rather, they are born from human hybrids who have the ability to transform their bodies into Demon Weapons, and only after they have consumed the souls of 99 evil beings and one witch's soul.

Soul Eater Evans, a Demon Scythe who only seems to care about what's cool, aims to become a Death Scythe with the help of his straight-laced wielder, or meister, Maka Albarn. The contrasting duo work and study alongside the hot headed Black☆Star and his caring weapon Tsubaki, as well as the Shinigami's own son, Death the Kid, an obsessive-compulsive dual wielder of twin pistols Patty and Liz.

As they take on missions to collect souls and protect the city from the world's threats, the Shibusen students work together under the snickering sun to become sounder in mind, body, and soul.

[Written by MAL Rewrite]",Bones,death city is home to the famous death weapon meister academy shibusen a technical academy headed by the shinigami lord death himself its mission to raise death scythes for the shinigami to wield against the many evils of their fantastical world these death scythes however are not made from physical weapons rather they are born from human hybrids who have the ability to transform their bodies into demon weapons and only after they have consumed the souls of evil beings and one witchs soul soul eater evans a demon scythe who only seems to care about whats cool aims to become a death scythe with the help of his straightlaced wielder or meister albarn the contrasting duo work and study alongside the hot headed black star and his caring weapon tsubaki as well as the shinigamis own son death the kid an obsessivecompulsive dual wielder of twin pistols patty and liz as they take on missions to collect souls and protect the city from the worlds threats the shibusen students work together under the snickering sun to become sounder in mind body and soul written by mal rewrite
To LOVE-Ru,6.96,"Comedy, Romance, Sci-Fi, Ecchi, Harem, School",https://cdn.myanimelist.net/images/anime/1292/147431.jpg,Spring 2008,TV,"Timid 16-year-old Rito Yuuki has yet to profess his love to Haruna Sairenji—a classmate and object of his infatuation since junior high. Sadly, his situation becomes even more challenging when one night, a mysterious, stark-naked girl crash-lands right on top of a bathing Rito.

To add to the confusion, Rito discovers that the girl, Lala Satalin Deviluke, is the crown princess of an alien empire and has run away from her home. Despite her position as the heiress to the most dominant power in the entire galaxy, Lala is surprisingly more than willing to marry the decidedly average Rito in order to avoid an unwanted political marriage.

To LOVE-Ru depicts Rito's daily struggles with the bizarre chaos that begins upon the arrival of Lala. With an evergrowing legion of swooning beauties that continuously foil his attempted confessions to Haruna, To LOVE-Ru  is a romantic comedy full of slapstick humor, sexy girls, and outlandishly lewd moments that defy the laws of physics.

[Written by MAL Rewrite]",Xebec,timid yearold rito yuuki has yet to profess his love to haruna sairenji a classmate and object of his infatuation since junior high sadly his situation becomes even more challenging when one night a mysterious starknaked girl crashlands right on top of a bathing rito to add to the confusion rito discovers that the girl lala satalin deviluke is the crown princess of an alien empire and has run away from her home despite her position as the heiress to the most dominant power in the entire galaxy lala is surprisingly more than willing to marry the decidedly average rito in order to avoid an unwanted political marriage to loveru depicts ritos daily struggles with the bizarre chaos that begins upon the arrival of lala with an evergrowing legion of swooning beauties that continuously foil his attempted confessions to haruna to loveru is a romantic comedy full of slapstick humor sexy girls and outlandishly lewd moments that defy the laws of physics written by mal rewrite
Vampire Knight,6.84,"Drama, Mystery, Romance, Supernatural, Love Polygon, School, Vampire",https://cdn.myanimelist.net/images/anime/3/7327.jpg,Spring 2008,TV,"The cheerful Yuuki Cross and the gruff Zero Kiryuu are members of the disciplinary committee at Cross Academy, which houses two very distinct classes: the Day Class and the Night Class. Their job consists of upholding order between the classes when they switch out. While that may not seem like an especially difficult task, the Day Class is unaware of the truth behind the Night Class—their utterly gorgeous students are vampires.

Ten years ago, Yuuki was saved from a vampire attack by Kaname Kuran, a Pureblood vampire. Now, Kaname is the leader of the Night Class, and Yuuki's disciplinary committee position allows her to see him again, making her feelings for him grow complicated. Meanwhile, Zero bears a white-hot hatred of all vampires and believes they can never live in harmony with humans. But a secret from Zero's past soon threatens the fragile peace of all at the academy, and things may never be the same again.

[Written by MAL Rewrite]",Studio Deen,the cheerful yuuki cross and the gruff zero kiryuu are members of the disciplinary committee at cross academy which houses two very distinct classes the day class and the night class their job consists of upholding order between the classes when they switch out while that may not seem like an especially difficult task the day class is unaware of the truth behind the night class their utterly gorgeous students are vampires ten years ago yuuki was saved from a vampire attack by kaname kur a pureblood vampire now kaname is the leader of the night class and yuukis disciplinary committee position allows her to see him again making her feelings for him grow complicated meanwhile zero bears a whitehot hatred of all vampires and believes they can never live in harmony with humans but a secret from zeros past soon threatens the fragile peace of all at the academy and things may never be the same again written by mal rewrite
Special A,7.5,"Comedy, Romance",https://cdn.myanimelist.net/images/anime/8/77363.jpg,Spring 2008,TV,"Hikari Hanazono has always been able to do things that normal people cannot. As a child, she assumed no one could beat her—until she met Kei Takishima. Thinking she would win, Hikari challenged him to a match. But things didn’t go as planned; she lost not once but each time she rechallenged him. From that point on, she has sworn to best Kei at everything, ranging from academics to athletics.

To achieve her goal, Hikari enrolls in the same school as Kei—Hakusenkan, a prestigious institute for the wealthy. As a pair, they hold the top two rankings in school and are among seven of the academy's best students in a class known as Special A.

While Hikari treats Kei as a rival, she is completely oblivious that he harbors hidden feelings for her. Together, the members of Special A deal with competition, friendship, and just a bit of love.

[Written by MAL Rewrite]","Gonzo, AIC",hikari hanazono has always been able to do things that normal people cannot as a child she assumed no one could beat her until she met kei takishima thinking she would win hikari challenged him to a match but things didn t go as planned she lost not once but each time she rechallenged him from that point on she has sworn to best kei at everything ranging from academics to athletics to achieve her goal hikari enrolls in the same school as kei hakusenkan a prestigious institute for the wealthy as a pair they hold the top two rankings in school and are among seven of the academys best students in a class known as special a while hikari treats kei as a rival she is completely oblivious that he harbors hidden feelings for her together the members of special a deal with competition friendship and just a bit of love written by mal rewrite
Itazura na Kiss,7.39,"Comedy, Romance",https://cdn.myanimelist.net/images/anime/10/19933.jpg,Spring 2008,TV,"When her newly-built home is razed to the ground by an earthquake, low-achieving, clumsy, and troublesome third-year high school student Kotoko Aihara is forced to share a roof with the school's—and possibly Japan's—smartest student, Naoki Irie. Kotoko is not actually a complete stranger to Irie-kun; unfortunately, a single love letter that she tried to give him in the past has already sealed her fate as far as he is concerned. Throw in some quirky friends and a meddlesome mother, and Kotoko might not even have a snowball's chance in hell of winning the older Irie boy's heart. Yet Kotoko remains optimistic that, because she now lives in his house, her unattainable crush on the genius since the beginning of high school has never been more within reach.

[Written by MAL Rewrite]",TMS Entertainment,when her newlybuilt home is razed to the ground by an earthquake lowachieving clumsy and troublesome thirdyear high school student kotoko aihara is forced to share a roof with the schools and possibly japans smartest student naoki irie kotoko is not actually a complete stranger to iriekun unfortunately a single love letter that she tried to give him in the past has already sealed her fate as far as he is concerned throw in some quirky friends and a meddlesome mother and kotoko might not even have a snowballs chance in hell of winning the older irie boys heart yet kotoko remains optimistic that because she now lives in his house her unattainable crush on the genius since the beginning of high school has never been more within reach written by mal rewrite
Junjou Romantica,7.44,"Boys Love, Comedy, Drama",https://cdn.myanimelist.net/images/anime/7/8811.jpg,Spring 2008,TV,"High school student Misaki Takahashi returns home to see his older brother being fondled by an unknown man. Bewildered by such a sight, Misaki finds out that the stranger is actually Akihiko Usami, a popular novelist and his brother's best friend. With the two of them slowly becoming acquainted, Akihiko ends up as Misaki's private tutor. However, after stumbling upon the author's latest boys-love novel, Misaki becomes uncertain whether or not to trust Akihiko regarding his friendship with the student's brother.

Elsewhere, Hiroki Kamijou, a university teacher of classical literature and Akihiko's friend, is grieving a failed romance. While on the edge of a mental breakdown, he meets student Nowaki Kusama, who wants his help for an upcoming exam. Despite denying Nowaki's request numerous times, Hiroki eventually lends him a hand. As the two get closer, more revelations about the student are made.

Furthermore, when wealthy teenager Shinobu Takatsuki finds out that his older sister has divorced Hiroki's coworker You Miyagi, he immediately wants to date the same man—as he saved Shinobu from a robbery three years prior. Even so, You does not feel the same way and attempts to scare him off. However, the educator soon realizes that Shinobu will do anything for their destined romance.

Junjou Romantica collects three love stories, narrating every couple's romance.

[Written by MAL Rewrite]",Studio Deen,high school student misaki takahashi returns home to see his older brother being fondled by an unknown man bewildered by such a sight misaki finds out that the stranger is actually akihiko usam a popular novelist and his brothers best friend with the two of them slowly becoming acquainted akihiko ends up as misakis private tutor however after stumbling upon the authors latest boyslove novel misaki becomes uncertain whether or not to trust akihiko regarding his friendship with the students brother elsewhere hiroki kamijou a university teacher of classical literature and akihikos friend is grieving a failed romance while on the edge of a mental breakdown he meets student nowaki sama who wants his help for an upcoming exam despite denying nowakis request numerous times hiroki eventually lends him a hand as the two get closer more revelations about the student are made furthermore when wealthy teenager shinobu takatsuki finds out that his older sister has divorced hirokis coworker you miyagi he immediately wants to date the same man as he saved shinobu from a robbery three years prior even so you does not feel the same way and attempts to scare him off however the educator soon realizes that shinobu will do anything for their destined romance junjou romantica collects three love stories narrating every couples romance written by mal rewrite
Kanokon,6.35,"Comedy, Romance, Supernatural, Ecchi, Love Polygon, School",https://cdn.myanimelist.net/images/anime/11/9490.jpg,Spring 2008,TV,"Kouta has girl troubles of the supernatural sort. For some reason, he keeps attracting the attention (and affections) of animal spirits!

Having spent most of his life in the country, Kouta is understandably nervous when he moves in with his grandma to attend a high school in the big city. He hoped to make a good impression, but having Chizuru, a beautiful fox spirit, hanging off his arm didn't seem to be the sort of image he wanted to have. She's not alone in her love for Kouta, either. Nozomu, a wolf spirit, as well as other youkai have their sights set on the hapless country boy.",Xebec,kouta has girl troubles of the supernatural sort for some reason he keeps attracting the attention and affections of animal spirits having spent most of his life in the country kouta is understandably nervous when he moves in with his grandma to attend a high school in the big city he hoped to make a good impression but having chizuru a beautiful fox spirit hanging off his arm didnt seem to be the sort of image he wanted to have shes not alone in her love for kouta either nozomu a wolf spirit as well as other youkai have their sights set on the hapless country boy
Kaiba,8.14,"Adventure, Avant Garde, Award Winning, Mystery, Romance, Sci-Fi",https://cdn.myanimelist.net/images/anime/1959/147908.jpg,Spring 2008,TV,"In a world where memories exist in memory chips separate from the body, death of the body no longer means death of the soul. It is possible for memories to be viewed, altered, and transferred between bodies. These memory chips are used by the rich to obtain eternal lives in carefully selected bodies, while for the poor, selling their own bodies and conserving their souls in the chips often become the only way to earn a living. An electrolytic cloud in the sky serves as a barrier between the heavens of the fortunate and the underworld of the destitute, making this social division impregnable. 

One day, a man named Kaiba wakes up in an empty room with no memories, a mysterious hole in his chest, and a locket holding the picture of an unknown woman. After escaping an attack and stumbling upon a decrepit village of underworld residents, he begins his adventure across the different planets of this strange universe to find out more about his own identity and the woman he once knew.

Through a journey of self-discovery and acceptance, Kaiba weaves together tales of souls and spirits and explores the importance of memories.

[Written by MAL Rewrite]",Madhouse,in a world where memories exist in memory chips separate from the body death of the body no longer means death of the soul it is possible for memories to be viewed altered and transferred between bodies these memory chips are used by the rich to obtain eternal lives in carefully selected bodies while for the poor selling their own bodies and conserving their souls in the chips often become the only way to earn a living an electrolytic cloud in the sky serves as a barrier between the heavens of the fortunate and the underworld of the destitute making this social division impregnable one day a man named kaiba wakes up in an empty room with no memories a mysterious hole in his chest and a locket holding the picture of an unknown woman after escaping an attack and stumbling upon a decrepit village of underworld residents he begins his adventure across the different planets of this strange universe to find out more about his own identity and the woman he once knew through a journey of selfdiscovery and acceptance kaiba weaves together tales of souls and spirits and explores the importance of memories written by mal rewrite
Nabari no Ou,7.24,"Action, Drama, Supernatural",https://cdn.myanimelist.net/images/anime/13/79037.jpg,Spring 2008,TV,"Silent, apathetic, yet mischievous, 14-year-old Rokujou Miharu is the bearer of the hijutsu ""Shinrabanshou,"" a powerful technique many ninja clans desire so they can become the ruler of Nabari. His classmate Kouichi Aizawa and English teacher Thobari Durandal Kumohira are both secretly Banten clan ninjas who have pledged themselves to protect Miharu from his many attackers. Keeping apathetic, Miharu attempts to reject their invitation to join their ninja ""club."" However, after numerous attacks, he finds no choice but to join their group as a means for his survival. Slowly, Miharu gets ever closer to becoming the ruler of Nabari.

[Written by MAL Rewrite]",J.C.Staff,silent apathetic yet mischievous yearold rokujou miharu is the bearer of the hijutsu shinrabanshou a powerful technique many ninja clans desire so they can become the ruler of nabari his classmate kouichi aizawa and english teacher thobari durandal kumohira are both secretly banten clan ninjas who have pledged themselves to protect miharu from his many attackers keeping apathetic miharu attempts to reject their invitation to join their ninja club however after numerous attacks he finds no choice but to join their group as a means for his survival slowly miharu gets ever closer to becoming the ruler of nabari written by mal rewrite
Macross F,7.88,"Award Winning, Romance, Sci-Fi, Mecha, Military, Music, Space",https://cdn.myanimelist.net/images/anime/9/15648.jpg,Spring 2008,TV,"Following a catastrophic war against a race of giants known as the Zentradi, humanity has escaped towards the center of the galaxy aboard a fleet of colonial vessels called the Macross Frontier. As the extraterrestrial threat is left further and further behind, life on Macross Frontier proceeds as usual.

In the year 2059, a young mecha pilot trainee named Alto Saotome and his colleagues are preparing to perform an accompanying routine for the famous singer Sheryl Nome, who has come to Macross Frontier for a concert. During the performance, a biomechanical alien species known as the Vajra make a sudden appearance, breaking through the defensive perimeter surrounding the vessel and crash-landing near the concert venue, plunging the entire city into chaos. As the concertgoers evacuate, a young girl named Ranka Lee is left behind and gets targeted by the Vajra, but she is saved at the last minute by Alto. Following these events, the Strategic Military Services program notes Alto's skill in battle, resulting in his recruitment to combat the new alien threat.

[Written by MAL Rewrite]",Satelight,following a catastrophic war against a race of giants known as the zentradi humanity has escaped towards the center of the galaxy aboard a fleet of colonial vessels called the macross frontier as the extraterrestrial threat is left further and further behind life on macross frontier proceeds as usual in the year a young mecha pilot trainee named alto saotome and his colleagues are preparing to perform an accompanying routine for the famous singer sheryl nome who has come to macross frontier for a concert during the performance a biomechanical alien species known as the vajra make a sudden appearance breaking through the defensive perimeter surrounding the vessel and crashlanding near the concert venue plunging the entire city into chaos as the concertgoers evacuate a young girl named ranka lee is left behind and gets targeted by the vajra but she is saved at the last mute by alto following these events the strategic military services program notes altos skill in battle resulting in his recruitment to combat the new alien threat written by mal rewrite
xxxHOLiC◆Kei,8.2,"Comedy, Drama, Mystery, Supernatural",https://cdn.myanimelist.net/images/anime/9/8626.jpg,Spring 2008,TV,"Kimihiro Watanuki's life was never really normal. But in addition to his ability to see spirits, this sequel to xxxHOLiC finds him still slaving away for Yuuko, the bizarre owner of a strange shop, who promised to rid him of this ability. However, this otherworldly woman can only do so when he has worked enough to earn his wish. Such is the way for anyone who finds their way into the shop to have their request granted: a compensation equal to their wish must be paid. 

In this odd shop that straddles the world of the living and the dead, Watanuki finds himself doing household chores for the seemingly lazy Yuuko and her companions, while also helping out clients. Along with his classmates, supposed romantic rival Shizuka Doumeki and his crush Himawari Kunogi, Watanuki deals with the many misfortunes surrounding Yuuko's customers, as well as those that closely follow him and his friends.

[Written by MAL Rewrite]",Production I.G,kimihiro watanukis life was never really normal but in addition to his ability to see spirits this sequel to xxxholic finds him still slaving away for yuuko the bizarre owner of a strange shop who promised to rid him of this ability however this otherworldly woman can only do so when he has worked enough to earn his wish such is the way for anyone who finds their way into the shop to have their request granted a compensation equal to their wish must be paid in this odd shop that straddles the world of the living and the dead watanuki finds himself doing household chores for the seemingly lazy yuuko and her companions while also helping out clients along with his classmates supposed romantic rival shizuka doumeki and his crush himawari kunogi watanuki deals with the many misfortunes surrounding yuukos customers as well as those that closely follow him and his friends written by mal rewrite
Yu☆Gi☆Oh! 5D's,7.47,Action,https://cdn.myanimelist.net/images/anime/1667/103658.jpg,Spring 2008,TV,"Yuusei Fudou is out to get back what was stolen from him.

The world of dueling has evolved, with Riding Duels becoming the peak of entertainment for the residents of Neo Domino City. They are played on D-Wheels, a hybrid between Duel Disks and motorbikes. After the mechanically skilled Yuusei managed to build his own D-Wheel, his former friend Jack Atlas stole it alongside Yuusei's best card, Stardust Dragon; ditching their decrepit hometown of Satellite, he escaped to Neo Domino City.

In the two years since then, Jack has risen to the top of the dueling world, while Yuusei has been making preparations thanks to the help of his friends. With his new D-Wheel finished, he now sets off to Neo Domino City, his only goal to find Jack. Unbeknownst to either of them, there are far bigger things at stake than they can imagine, with puppeteers pulling the strings behind the scenes.

[Written by MAL Rewrite]",Gallop,yuusei fudou is out to get back what was stolen from him the world of dueling has evolved with riding duels becoming the peak of entertainment for the residents of neo domino city they are played on dwheels a hybrid between duel disks and motorbikes after the mechanically skilled yuusei managed to build his own dwheel his former friend jack atlas stole it alongside yuuseis best card stardust dragon ditching their decrepit hometown of satellite he escaped to neo domino city in the two years since then jack has risen to the top of the dueling world while yuusei has been making preparations thanks to the help of his friends with his new dwheel finished he now sets off to neo domino city his only goal to find jack unbeknownst to either of them there are far bigger things at stake than they can imagine with puppeteers pulling the strings behind the scenes written by mal rewrite
Druaga no Tou: The Aegis of Uruk,7.12,"Action, Adventure, Fantasy",https://cdn.myanimelist.net/images/anime/5/75646.jpg,Spring 2008,TV,"It is said that every few years, there is what's known as the ""Summer of Anu.""  During that summer, thanks to the divine protection of the sky-god Anu, all of the demons in the tower lose their power.  The country of Uruk has begun an invasion of the tower in order to suppress the demons.  They've built up positions inside the tower, with their sights set on getting to the upper levels.  The Uruk army knows that this is the third Summer of Anu-a perfect time to launch a mission to suppress the monster Druaga once and for all.  The army soldiers aren't the only ones in the tower, though.  An enitre city called Meskia has formed inside the tower's first floor.  It plays host not just to soldiers, but also to adventurers who have heard rumors about a legendary treasure called the Blue Crystal Rod, which is said to rest at the very top of the tower.  With all these different groups in the mix, each with its own agenda, one can only guess how things will play out during this unusual summer.

(Source:  Newtype Magazine)",Gonzo,it is said that every few years there is whats known as the summer of during that summer thanks to the divine protection of the skygod all of the demons in the tower lose their power the country of uruk has begun an invasion of the tower in order to suppress the demons theyve built up positions inside the tower with their sights set on getting to the upper levels the uruk army knows that this is the third summer of anua perfect time to launch a mission to suppress the monster druaga once and for all the army soldiers arent the only ones in the tower though an enitre city called meskia has formed inside the towers first floor it plays host not just to soldiers but also to adventurers who have heard rumors about a legendary treasure called the blue crystal rod which is said to rest at the very top of the tower with all these different groups in the mix each with its own agenda one can only guess how things will play out during this unusual summer source newtype magazine
Kure-nai,7.31,"Comedy, Drama",https://cdn.myanimelist.net/images/anime/2/8482.jpg,Spring 2008,TV,"Shinkurou Kurenai is a 16-year-old student by day and a dispute mediator by night. Though kind-hearted and patient, due to his tragic past, he has trained for years to live on. Now, despite his unimposing appearance, he is a strong martial artist, who also possesses a strange power.

While taking various jobs for his employer, Benika Juuzawa, one assignment leads Shinkurou to live with Murasaki Kuhouin as her bodyguard. Murasaki is the seven-year-old daughter of a plutocratic family, who escaped her home under peculiar circumstances with Benika's help. Commoner life, in her eyes, seems bizarre. However, by interacting with her neighbors, she grows more accustomed to the daily routine, and rids herself of her snobbish behavior, gradually growing attached to Shinkurou.

Though many details of the job remain unclear, Shinkurou still strives to protect the young lady. But to make things more complicated, he also lacks a crucial fact—what is the real threat against Murasaki?

[Written by MAL Rewrite]",Brain's Base,shinkurou rena is a yearold student by day and a dispute mediator by night though kindhearted and patient due to his tragic past he has trained for years to live on now despite his unimposing appearance he is a strong martial artist who also possesses a strange power while taking various jobs for his employer benika juuzawa one assignment leads shinkurou to live with murasaki kuhouin as her bodyguard murasaki is the sevenyearold daughter of a plutocratic family who escaped her home under peculiar circumstances with benikas help commoner life in her eyes seems bizarre however by interacting with her neighbors she grows more accustomed to the daily routine and rids herself of her snobbish behavior gradually growing attached to shinkurou though many details of the job remain unclear shinkurou still strives to protect the young lady but to make things more complicated he also lacks a crucial fact what is the real threat against murasaki written by mal rewrite
